north,north_west,north_east,south,west,east,action,lap
100,59,59,100,36,35,none,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,64,59,100,36,35,accelerate,2
100,100,57,100,36,35,accelerate,2
100,100,57,100,36,35,accelerate,2
98,100,56,100,36,35,accelerate,2
94,100,55,100,36,35,accelerate,2
90,100,54,100,36,35,accelerate,2
86,100,52,100,36,35,accelerate,2
82,100,50,100,36,35,accelerate,2
81,100,50,100,36,36,accelerate+rotLeft,2
81,100,52,100,35,37,accelerate+rotLeft,2
80,100,51,100,35,37,accelerate+rotLeft,2
78,100,50,100,34,37,accelerate+rotLeft,2
80,100,51,100,34,38,accelerate+rotLeft,2
80,100,52,100,32,39,accelerate+rotLeft,2
82,100,53,100,32,39,accelerate+rotLeft,2
82,100,53,92,31,39,accelerate+rotLeft,2
82,100,54,85,30,41,accelerate+rotLeft,2
81,100,54,82,30,41,accelerate+rotLeft,2
80,100,54,80,30,41,accelerate+rotLeft,2
81,100,53,77,30,41,accelerate+rotLeft,2
83,100,53,75,29,42,accelerate+rotLeft,2
86,100,55,75,28,42,accelerate+rotLeft,2
90,100,56,73,28,42,accelerate+rotLeft,2
96,100,55,73,28,41,accelerate+rotLeft,2
100,100,56,74,27,43,accelerate+rotLeft,2
100,98,56,73,27,42,accelerate+rotLeft,2
100,100,55,77,27,42,accelerate,2
100,100,54,80,26,43,accelerate,2
100,88,54,81,27,42,accelerate+rotLeft,2
100,71,56,80,26,44,accelerate+rotLeft,2
100,62,58,80,26,44,accelerate+rotLeft,2
100,65,57,83,27,44,accelerate,2
100,67,55,86,28,43,accelerate,2
100,67,55,90,28,44,accelerate,2
100,70,54,93,29,43,accelerate,2
100,63,56,92,30,41,accelerate+rotLeft,2
100,57,59,93,30,41,accelerate+rotLeft,2
100,53,63,93,30,41,accelerate+rotLeft,2
100,48,69,93,30,41,accelerate+rotLeft,2
100,45,74,92,30,41,accelerate+rotLeft,2
100,45,74,95,30,41,accelerate,2
100,45,74,99,30,41,accelerate,2
100,43,76,100,29,42,accelerate,2
100,43,76,100,29,42,accelerate,2
100,43,76,100,29,42,accelerate,2
100,42,78,100,28,43,accelerate,2
100,42,78,100,28,43,accelerate,2
100,42,78,100,28,43,accelerate,2
100,42,78,100,28,43,accelerate,2
100,40,80,100,27,44,accelerate,2
100,40,80,100,27,44,accelerate,2
100,44,72,100,26,44,accelerate+rotRight,2
100,47,68,100,27,44,accelerate+rotRight,2
100,53,62,100,28,43,accelerate+rotRight,2
100,53,62,100,28,43,accelerate,2
100,55,61,100,29,42,accelerate,2
100,55,61,100,29,42,accelerate,2
100,55,61,100,29,42,accelerate,2
100,57,59,100,30,41,accelerate,2
100,57,59,100,30,41,accelerate,2
100,59,58,100,31,40,accelerate,2
100,53,63,100,31,40,accelerate+rotLeft,2
100,48,69,100,31,40,accelerate+rotLeft,2
100,44,76,100,30,41,accelerate+rotLeft,2
100,44,76,100,30,41,accelerate,2
100,44,76,100,30,41,accelerate,2
100,42,78,100,29,42,accelerate,2
100,42,78,100,29,42,accelerate,2
100,42,78,100,29,42,accelerate,2
100,41,80,100,28,43,accelerate,2
100,41,80,100,28,43,accelerate,2
100,39,82,100,27,44,accelerate,2
100,39,82,100,27,44,accelerate,2
100,42,76,100,27,44,accelerate+rotRight,2
100,45,71,100,27,44,accelerate+rotRight,2
100,48,66,100,27,44,accelerate+rotRight,2
100,50,65,100,28,43,accelerate,2
